time	I(R3)
3.456777215525479e+000	1.265092e-006
3.466777215525478e+000	1.167151e-006
3.486777215525478e+000	9.942735e-007
3.506777215525478e+000	8.479911e-007
3.526777215525477e+000	7.241001e-007
3.546777215525477e+000	6.190696e-007
3.566777215525476e+000	5.299353e-007
3.586777215525476e+000	4.542086e-007
3.606777215525475e+000	3.898001e-007
3.626777215525475e+000	3.349544e-007
3.646777215525475e+000	2.881964e-007
3.676777215525474e+000	2.305645e-007
3.706777215525473e+000	1.849927e-007
3.736777215525473e+000	1.488573e-007
3.766777215525472e+000	1.201247e-007
3.791062929811186e+000	1.022212e-007
3.815348644096900e+000	8.635452e-008
3.839634358382613e+000	7.252470e-008
3.863920072668327e+000	6.073173e-008
3.888205786954041e+000	5.097560e-008
3.912491501239755e+000	4.325631e-008
3.936777215525468e+000	3.757387e-008
3.978205786954039e+000	2.963158e-008
4.019634358382610e+000	2.284737e-008
4.061062929811180e+000	1.722122e-008
4.102491501239751e+000	1.275315e-008
4.143920072668322e+000	9.443157e-009
4.185348644096892e+000	7.291233e-009
4.226777215525463e+000	6.297383e-009
4.355348644096888e+000	4.061366e-009
4.483920072668314e+000	2.275741e-009
4.612491501239740e+000	9.405074e-010
4.741062929811166e+000	5.566483e-011
4.869634358382592e+000	-3.787865e-010
4.998205786954018e+000	-3.628466e-010
5.126777215525443e+000	1.034845e-010
5.249634358382584e+000	7.778220e-011
5.372491501239724e+000	5.670593e-011
5.495348644096865e+000	4.025570e-011
5.618205786954005e+000	2.843152e-011
5.741062929811145e+000	2.123337e-011
5.863920072668285e+000	1.866127e-011
5.986777215525425e+000	2.071521e-011
5.996777215525425e+000	2.056712e-011
6.000000000000000e+000	2.054355e-011
