time	V(1)	V(2)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	2.500000e+000	2.500000e+000
8.956337935187900e-006	2.500000e+000	2.289344e+000
1.791267487037580e-005	2.500000e+000	2.093462e+000
2.686901180556370e-005	2.500000e+000	1.912354e+000
3.582534874075161e-005	2.500000e+000	1.746019e+000
4.478168567593951e-005	2.500000e+000	1.594458e+000
5.373802261112741e-005	2.500000e+000	1.457671e+000
6.269435954631528e-005	2.500000e+000	1.335657e+000
7.162293097488671e-005	2.500000e+000	1.223389e+000
8.055150240345816e-005	2.500000e+000	1.118985e+000
8.948007383202959e-005	2.500000e+000	1.022444e+000
9.840864526060102e-005	2.500000e+000	9.337659e-001
1.073372166891725e-004	2.500000e+000	8.529512e-001
1.162657881177439e-004	2.500000e+000	7.799996e-001
1.251943595463153e-004	2.500000e+000	7.149113e-001
1.341229309748868e-004	2.500000e+000	6.548201e-001
1.430515024034582e-004	2.500000e+000	5.989376e-001
1.519800738320297e-004	2.500000e+000	5.472639e-001
1.609086452606011e-004	2.500000e+000	4.997989e-001
1.698372166891725e-004	2.500000e+000	4.565428e-001
1.787657881177440e-004	2.500000e+000	4.174954e-001
1.876943595463154e-004	2.500000e+000	3.826569e-001
1.966229309748868e-004	2.500000e+000	3.504930e-001
2.055515024034582e-004	2.500000e+000	3.205818e-001
2.144800738320297e-004	2.500000e+000	2.929234e-001
2.234086452606011e-004	2.500000e+000	2.675178e-001
2.323372166891726e-004	2.500000e+000	2.443649e-001
2.412657881177440e-004	2.500000e+000	2.234648e-001
2.501943595463154e-004	2.500000e+000	2.048174e-001
2.591229309748869e-004	2.500000e+000	1.876016e-001
2.680515024034583e-004	2.500000e+000	1.715917e-001
2.769800738320298e-004	2.500000e+000	1.567875e-001
2.859086452606012e-004	2.500000e+000	1.431891e-001
2.948372166891726e-004	2.500000e+000	1.307965e-001
3.037657881177441e-004	2.500000e+000	1.196097e-001
3.126943595463155e-004	2.500000e+000	1.096287e-001
3.216229309748870e-004	2.500000e+000	1.004139e-001
3.305515024034584e-004	2.500000e+000	9.184458e-002
3.394800738320298e-004	2.500000e+000	8.392063e-002
3.484086452606013e-004	2.500000e+000	7.664208e-002
3.573372166891727e-004	2.500000e+000	7.000893e-002
3.662657881177441e-004	2.500000e+000	6.402118e-002
3.751943595463155e-004	2.500000e+000	5.867884e-002
3.841229309748870e-004	2.500000e+000	5.374663e-002
3.930515024034584e-004	2.500000e+000	4.915988e-002
4.019800738320299e-004	2.500000e+000	4.491858e-002
4.109086452606013e-004	2.500000e+000	4.102273e-002
4.198372166891727e-004	2.500000e+000	3.747234e-002
4.287657881177442e-004	2.500000e+000	3.426739e-002
4.376943595463156e-004	2.500000e+000	3.140789e-002
4.465951654682705e-004	2.500000e+000	2.877580e-002
4.554959713902255e-004	2.500000e+000	2.632747e-002
4.643967773121803e-004	2.500000e+000	2.406290e-002
4.732975832341353e-004	2.500000e+000	2.198209e-002
4.821983891560902e-004	2.500000e+000	2.008503e-002
4.910991950780451e-004	2.500000e+000	1.837174e-002
5.000000010000000e-004	2.500000e+000	1.684220e-002
5.000000020000000e-004	0.000000e+000	-2.483158e+000
5.090330347813248e-004	0.000000e+000	-2.272261e+000
5.180660675626497e-004	0.000000e+000	-2.076253e+000
5.270991003439745e-004	0.000000e+000	-1.895135e+000
5.361321331252995e-004	0.000000e+000	-1.728906e+000
5.451651659066243e-004	0.000000e+000	-1.577566e+000
5.541981986879491e-004	0.000000e+000	-1.441116e+000
5.632312314692740e-004	0.000000e+000	-1.319555e+000
5.721598028978454e-004	0.000000e+000	-1.208641e+000
5.810883743264169e-004	0.000000e+000	-1.105495e+000
5.900169457549883e-004	0.000000e+000	-1.010118e+000
5.989455171835597e-004	0.000000e+000	-9.225091e-001
6.078740886121312e-004	0.000000e+000	-8.426687e-001
6.168026600407026e-004	0.000000e+000	-7.705966e-001
6.257312314692740e-004	0.000000e+000	-7.062929e-001
6.346598028978454e-004	0.000000e+000	-6.469260e-001
6.435883743264169e-004	0.000000e+000	-5.917172e-001
6.525169457549883e-004	0.000000e+000	-5.406664e-001
6.614455171835597e-004	0.000000e+000	-4.937737e-001
6.703740886121313e-004	0.000000e+000	-4.510390e-001
6.793026600407027e-004	0.000000e+000	-4.124624e-001
6.882312314692741e-004	0.000000e+000	-3.780439e-001
6.971598028978455e-004	0.000000e+000	-3.462677e-001
7.060883743264170e-004	0.000000e+000	-3.167171e-001
7.150169457549884e-004	0.000000e+000	-2.893922e-001
7.239455171835598e-004	0.000000e+000	-2.642928e-001
7.328740886121313e-004	0.000000e+000	-2.414190e-001
7.418026600407027e-004	0.000000e+000	-2.207708e-001
7.507312314692741e-004	0.000000e+000	-2.023483e-001
7.596598028978455e-004	0.000000e+000	-1.853401e-001
7.685883743264170e-004	0.000000e+000	-1.695231e-001
7.775169457549884e-004	0.000000e+000	-1.548974e-001
7.864455171835599e-004	0.000000e+000	-1.414629e-001
7.953740886121314e-004	0.000000e+000	-1.292197e-001
8.043026600407028e-004	0.000000e+000	-1.181678e-001
8.132312314692742e-004	0.000000e+000	-1.083071e-001
8.221598028978456e-004	0.000000e+000	-9.920341e-002
8.310883743264171e-004	0.000000e+000	-9.073737e-002
8.400169457549885e-004	0.000000e+000	-8.290894e-002
8.489455171835599e-004	0.000000e+000	-7.571814e-002
8.578740886121314e-004	0.000000e+000	-6.916496e-002
8.668026600407028e-004	0.000000e+000	-6.324939e-002
8.757312314692742e-004	0.000000e+000	-5.797145e-002
8.846598028978456e-004	0.000000e+000	-5.309870e-002
8.935883743264172e-004	0.000000e+000	-4.856725e-002
9.025169457549886e-004	0.000000e+000	-4.437708e-002
9.114455171835600e-004	0.000000e+000	-4.052819e-002
9.203740886121315e-004	0.000000e+000	-3.702060e-002
9.293026600407029e-004	0.000000e+000	-3.385429e-002
9.382312314692743e-004	0.000000e+000	-3.102926e-002
9.470553412593780e-004	0.000000e+000	-2.844972e-002
9.558794510494816e-004	0.000000e+000	-2.604905e-002
9.647035608395853e-004	0.000000e+000	-2.382725e-002
9.735276706296890e-004	0.000000e+000	-2.178432e-002
9.823517804197926e-004	0.000000e+000	-1.992026e-002
9.911758902098964e-004	0.000000e+000	-1.823506e-002
1.000000000000000e-003	0.000000e+000	-1.672874e-002
1.000000001000000e-003	2.500000e+000	2.483271e+000
1.009033033781325e-003	2.500000e+000	2.272365e+000
1.018066066562650e-003	2.500000e+000	2.076348e+000
1.027099099343975e-003	2.500000e+000	1.895221e+000
1.036132132125300e-003	2.500000e+000	1.728985e+000
1.045165164906624e-003	2.500000e+000	1.577638e+000
1.054198197687949e-003	2.500000e+000	1.441182e+000
1.063231230469274e-003	2.500000e+000	1.319615e+000
1.072159801897846e-003	2.500000e+000	1.208696e+000
1.081088373326417e-003	2.500000e+000	1.105546e+000
1.090016944754988e-003	2.500000e+000	1.010164e+000
1.098945516183560e-003	2.500000e+000	9.225513e-001
1.107874087612131e-003	2.500000e+000	8.427072e-001
1.116802659040703e-003	2.500000e+000	7.706318e-001
1.125731230469274e-003	2.500000e+000	7.063252e-001
1.134659801897846e-003	2.500000e+000	6.469556e-001
1.143588373326417e-003	2.500000e+000	5.917443e-001
1.152516944754988e-003	2.500000e+000	5.406912e-001
1.161445516183560e-003	2.500000e+000	4.937963e-001
1.170374087612131e-003	2.500000e+000	4.510597e-001
1.179302659040703e-003	2.500000e+000	4.124813e-001
1.188231230469274e-003	2.500000e+000	3.780611e-001
1.197159801897846e-003	2.500000e+000	3.462835e-001
1.206088373326417e-003	2.500000e+000	3.167316e-001
1.215016944754988e-003	2.500000e+000	2.894054e-001
1.223945516183560e-003	2.500000e+000	2.643049e-001
1.232874087612131e-003	2.500000e+000	2.414300e-001
1.241802659040703e-003	2.500000e+000	2.207809e-001
1.250731230469274e-003	2.500000e+000	2.023575e-001
1.259659801897846e-003	2.500000e+000	1.853485e-001
1.268588373326417e-003	2.500000e+000	1.695308e-001
1.277516944754989e-003	2.500000e+000	1.549045e-001
1.286445516183560e-003	2.500000e+000	1.414694e-001
1.295374087612132e-003	2.500000e+000	1.292256e-001
1.304302659040703e-003	2.500000e+000	1.181732e-001
1.313231230469274e-003	2.500000e+000	1.083120e-001
1.322159801897846e-003	2.500000e+000	9.920794e-002
1.331088373326417e-003	2.500000e+000	9.074151e-002
1.340016944754989e-003	2.500000e+000	8.291273e-002
1.348945516183560e-003	2.500000e+000	7.572160e-002
1.357874087612132e-003	2.500000e+000	6.916812e-002
1.366802659040703e-003	2.500000e+000	6.325228e-002
1.375731230469274e-003	2.500000e+000	5.797409e-002
